t=2026-08-24T13:21:32+0100 lvl=info msg="join connections" obj=join id=6a5822c5cd88 l=[::1]:8080 r=102.216.200.114:35054
t=2026-08-24T13:22:08+0100 lvl=info msg="join connections" obj=join id=531ad1a84a95 l=[::1]:8080 r=102.216.200.114:35054
t=2026-08-24T13:22:08+0100 lvl=info msg="join connections" obj=join id=5f022322db72 l=[::1]:8080 r=102.216.200.114:35054
t=2026-08-24T13:22:09+0100 lvl=info msg="join connections" obj=join id=b90fc9eb5f95 l=[::1]:8080 r=102.216.200.114:35054
t=2026-08-24T13:22:09+0100 lvl=info msg="join connections" obj=join id=82ab35dc0aa8 l=[::1]:8080 r=102.216.200.114:35054
t=2026-08-24T13:22:33+0100 lvl=info msg="join connections" obj=join id=054f849d9eeb l=[::1]:8080 r=102.216.200.114:35054
t=2026-08-24T13:22:33+0100 lvl=info msg="join connections" obj=join id=5c90f7db790b l=[::1]:8080 r=102.216.200.114:35054
t=2026-08-24T13:22:33+0100 lvl=info msg="join connections" obj=join id=a2bc17d71a34 l=[::1]:8080 r=102.216.200.114:35054
t=2026-08-24T13:23:35+0100 lvl=info msg="join connections" obj=join id=3e4aa15e65c0 l=[::1]:8080 r=102.216.200.114:44142
t=2026-08-24T13:23:35+0100 lvl=info msg="join connections" obj=join id=4a69cd2ab085 l=[::1]:8080 r=102.216.200.114:44142
t=2026-08-24T13:26:57+0100 lvl=info msg="join connections" obj=join id=53e71a49130f l=[::1]:8080 r=102.216.200.114:44142
t=2026-08-24T13:26:57+0100 lvl=info msg="join connections" obj=join id=06d89ec0efe9 l=[::1]:8080 r=102.216.200.114:44142
t=2026-08-24T13:28:28+0100 lvl=info msg="join connections" obj=join id=d661061bde4f l=[::1]:8080 r=102.216.200.114:44142
t=2026-08-24T13:28:29+0100 lvl=info msg="join connections" obj=join id=0440d214288f l=[::1]:8080 r=102.216.200.114:44142
t=2026-08-24T13:28:36+0100 lvl=info msg="join connections" obj=join id=4f0ece62e11b l=[::1]:8080 r=102.216.200.114:44142
t=2026-08-24T13:28:37+0100 lvl=info msg="join connections" obj=join id=4e199aa2c66b l=[::1]:8080 r=102.216.200.114:44142
t=2026-08-24T13:30:26+0100 lvl=info msg="join connections" obj=join id=3356c6474b11 l=[::1]:8080 r=102.216.200.114:2643
t=2026-08-24T13:30:35+0100 lvl=info msg="join connections" obj=join id=efd67ffb9d10 l=[::1]:8080 r=102.216.200.114:2643
t=2026-08-24T13:30:35+0100 lvl=info msg="join connections" obj=join id=a33155300fd3 l=[::1]:8080 r=102.216.200.114:2643
t=2026-08-24T13:30:35+0100 lvl=info msg="join connections" obj=join id=0d37b9d8b599 l=[::1]:8080 r=102.216.200.114:2643
t=2026-08-24T13:30:44+0100 lvl=info msg="join connections" obj=join id=0b69e4b9f54d l=[::1]:8080 r=102.216.200.114:2643
t=2026-08-24T13:31:45+0100 lvl=info msg="join connections" obj=join id=faf713b00754 l=[::1]:8080 r=102.216.200.114:2643
t=2026-08-24T13:31:45+0100 lvl=info msg="join connections" obj=join id=5be8e8be7540 l=[::1]:8080 r=102.216.200.114:2643
t=2026-08-24T13:31:47+0100 lvl=info msg="join connections" obj=join id=e488db5c011c l=[::1]:8080 r=102.216.200.114:1403
t=2026-08-24T13:31:47+0100 lvl=info msg="join connections" obj=join id=6913065972ad l=[::1]:8080 r=102.216.200.114:1403
t=2026-08-24T13:32:17+0100 lvl=info msg="join connections" obj=join id=269fcafb1c8d l=[::1]:8080 r=102.216.200.114:57320
t=2026-08-24T13:32:17+0100 lvl=info msg="join connections" obj=join id=4e27b6cab8bb l=[::1]:8080 r=102.216.200.114:57320
t=2026-08-24T13:36:36+0100 lvl=info msg="join connections" obj=join id=688220046c7a l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:36:36+0100 lvl=info msg="join connections" obj=join id=6791bd001b74 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:38:24+0100 lvl=info msg="join connections" obj=join id=4bb08b9984eb l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:38:24+0100 lvl=info msg="join connections" obj=join id=0aa1c3857c7a l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:38:25+0100 lvl=info msg="join connections" obj=join id=6288ae1689ce l=[::1]:8080 r=102.216.200.114:58360
t=2026-08-24T13:38:25+0100 lvl=info msg="join connections" obj=join id=a960349e5825 l=[::1]:8080 r=102.216.200.114:58360
t=2026-08-24T13:42:23+0100 lvl=info msg="join connections" obj=join id=1c35085c6f0f l=[::1]:8080 r=102.216.200.114:58360
t=2026-08-24T13:42:23+0100 lvl=info msg="join connections" obj=join id=e5cd906aef8d l=[::1]:8080 r=102.216.200.114:58360
t=2026-08-24T13:42:27+0100 lvl=info msg="join connections" obj=join id=61eae48f4f64 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:42:27+0100 lvl=info msg="join connections" obj=join id=a89fcb605a14 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:42:36+0100 lvl=info msg="join connections" obj=join id=735d12249724 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:42:36+0100 lvl=info msg="join connections" obj=join id=3b11c15ca58a l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:42:36+0100 lvl=info msg="join connections" obj=join id=201875458ed2 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:42:36+0100 lvl=info msg="join connections" obj=join id=766d8e6493b1 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:42:37+0100 lvl=info msg="join connections" obj=join id=f4624f2d4bac l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:42:37+0100 lvl=info msg="join connections" obj=join id=a75feb118725 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:46:54+0100 lvl=info msg="join connections" obj=join id=10c91781d259 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:46:54+0100 lvl=info msg="join connections" obj=join id=1cfc3a9d56ea l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:48:47+0100 lvl=info msg="join connections" obj=join id=55fa020e6342 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:48:47+0100 lvl=info msg="join connections" obj=join id=809f9374cb64 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:49:36+0100 lvl=info msg="join connections" obj=join id=6fe91c492041 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:49:36+0100 lvl=info msg="join connections" obj=join id=b29a22d8c6e2 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:49:36+0100 lvl=info msg="join connections" obj=join id=99efa5dbc4b8 l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T13:49:36+0100 lvl=info msg="join connections" obj=join id=af14c6fbdced l=[::1]:8080 r=102.216.200.114:1523
t=2026-08-24T14:03:17+0100 lvl=info msg="join connections" obj=join id=c48d17684e85 l=[::1]:8080 r=102.216.200.114:58360
t=2026-08-24T14:03:18+0100 lvl=info msg="join connections" obj=join id=840e57fc8add l=[::1]:8080 r=102.216.200.114:58360
t=2026-08-24T14:05:20+0100 lvl=info msg="join connections" obj=join id=21098b343063 l=[::1]:8080 r=102.216.200.114:58360
t=2026-08-24T14:05:20+0100 lvl=info msg="join connections" obj=join id=975960c02951 l=[::1]:8080 r=102.216.200.114:58360
t=2026-08-24T14:08:25+0100 lvl=info msg="join connections" obj=join id=fc1f31019bb0 l=[::1]:8080 r=102.216.200.114:47748
t=2026-08-24T14:08:25+0100 lvl=info msg="join connections" obj=join id=4e1753d57f90 l=[::1]:8080 r=102.216.200.114:47748
t=2026-08-24T14:22:12+0100 lvl=info msg="join connections" obj=join id=e5e965c57562 l=[::1]:8080 r=102.216.200.114:47748
t=2026-08-24T14:22:12+0100 lvl=info msg="join connections" obj=join id=5f11a00c5a29 l=[::1]:8080 r=102.216.200.114:47748
t=2026-08-24T14:22:13+0100 lvl=warn msg="failed to open private leg" id=c9f83341b7f5 privaddr=localhost:8080 err="dial tcp [::1]:8080: connectex: No connection could be made because the target machine actively refused it."
t=2026-08-24T14:22:13+0100 lvl=warn msg="failed to open private leg" id=71756cf8753c privaddr=localhost:8080 err="dial tcp [::1]:8080: connectex: No connection could be made because the target machine actively refused it."
t=2026-08-24T14:22:44+0100 lvl=info msg="join connections" obj=join id=dee698d42c4a l=[::1]:8080 r=102.216.200.114:49036
t=2026-08-24T14:22:44+0100 lvl=info msg="join connections" obj=join id=ab9933211039 l=[::1]:8080 r=102.216.200.114:49036
t=2026-08-24T14:35:54+0100 lvl=info msg="join connections" obj=join id=9bf2a3e29d01 l=[::1]:8080 r=102.216.200.114:52096
t=2026-08-24T14:35:55+0100 lvl=info msg="join connections" obj=join id=8407fde85217 l=[::1]:8080 r=102.216.200.114:52096
t=2026-08-24T14:36:14+0100 lvl=info msg="join connections" obj=join id=eed67d01dbad l=[::1]:8080 r=102.216.200.114:52096
t=2026-08-24T14:36:14+0100 lvl=info msg="join connections" obj=join id=f412693328ed l=[::1]:8080 r=102.216.200.114:52096
t=2026-08-24T14:36:14+0100 lvl=info msg="join connections" obj=join id=f30f84347d50 l=[::1]:8080 r=102.216.200.114:52096
t=2026-08-24T14:36:24+0100 lvl=info msg="join connections" obj=join id=c09691b833fc l=[::1]:8080 r=102.216.200.114:1480
t=2026-08-24T14:36:33+0100 lvl=info msg="join connections" obj=join id=d5ee1b552a62 l=[::1]:8080 r=102.216.200.114:1480
t=2026-08-24T14:36:33+0100 lvl=info msg="join connections" obj=join id=1d6d1afef1eb l=[::1]:8080 r=102.216.200.114:1480
t=2026-08-24T14:36:34+0100 lvl=info msg="join connections" obj=join id=11606fdabf41 l=[::1]:8080 r=102.216.200.114:1480
t=2026-08-24T14:38:37+0100 lvl=info msg="join connections" obj=join id=f3e01a0b3e28 l=[::1]:8080 r=102.216.200.114:1069
t=2026-08-24T14:38:37+0100 lvl=info msg="join connections" obj=join id=b71df56703f7 l=[::1]:8080 r=102.216.200.114:1069
t=2026-08-24T14:40:59+0100 lvl=info msg="join connections" obj=join id=dd5930997cf5 l=[::1]:8080 r=102.216.200.114:52096
t=2026-08-24T14:40:59+0100 lvl=info msg="join connections" obj=join id=3e25eaae5211 l=[::1]:8080 r=102.216.200.114:52096
t=2026-08-24T14:48:18+0100 lvl=info msg="join connections" obj=join id=57c7d6256564 l=[::1]:8080 r=102.216.200.114:1069
t=2026-08-24T14:48:18+0100 lvl=info msg="join connections" obj=join id=de26960bb1c5 l=[::1]:8080 r=102.216.200.114:1069
t=2026-08-24T14:55:36+0100 lvl=info msg="join connections" obj=join id=e862cb743c68 l=[::1]:8080 r=102.216.200.114:1069
t=2026-08-24T15:12:07+0100 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session id=841da53387a1 clientid=e52e49eac5d241239f3c3dcb2cb86680 obj=csess
t=2026-08-24T15:12:08+0100 lvl=info msg="join connections" obj=join id=8b9355aac20b l=[::1]:8080 r=102.216.200.114:1321
t=2026-08-24T15:12:08+0100 lvl=info msg="join connections" obj=join id=4cab85b880e6 l=[::1]:8080 r=102.216.200.114:1321
t=2026-08-24T15:12:08+0100 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session err="session closed" obj=csess id=5941f9f5f465
t=2026-08-24T15:12:13+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-24T15:12:13+0100 lvl=info msg="tunnel session started" obj=tunnels.session
